"","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z"
"AFFX-MurIL2_at",7.59052717027899,6.42212028572999,7.46562354011528,7.08294736012785,6.01109080804464,6.25468662710261,7.326474430193,6.04358729611171,5.83045562822492,7.08329848049,5.98739363559666,6.28932913839451,6.3766776110674,6.48118913339447,6.50876931906698,6.58402594782713,7.49061024040466,7.25235320892091,7.49852214529228,6.41641078706691,7.3036803038866,7.19770815795585,6.55279050162914,6.69842686480715,6.00975025353057,7.45627226643267
"AFFX-MurIL4_at",5.5178803643962,3.14263399160366,5.04715445656282,4.84334071686019,2.57165739594573,4.82234775759704,4.9527715274508,3.88677448407982,3.8318671098707,5.10799746321942,4.34710575931869,3.82328061204786,4.36632920911391,3.9930493302191,4.3332734451641,4.7977341450798,5.03523239362739,5.06734615601484,4.30868123140381,4.35184030829369,4.74803179557241,4.96110467972905,4.48168643294366,4.24895222223761,3.60509129011727,4.11919014964541
"AFFX-BioB-5_at",6.59674883192776,4.92780166119021,5.52754268824186,6.14836268739571,5.81184090491742,5.41533953193509,6.43488838964176,4.94451646781834,4.30146327097995,5.53455968460832,5.2902990620771,5.38438833056669,6.32588466576028,5.18944110677805,5.1859497753167,5.14181695706381,5.87341704250372,6.83367442449824,6.54597145706226,4.49292990666769,5.60425520811014,6.49539936702944,5.39249946566717,5.84734053139457,5.48612224464742,5.94730146322233
"AFFX-BioB-M_at",6.47691628006631,4.69187469901987,5.83802647189639,6.12880066397638,5.63175038121063,4.70742539789102,6.2289783399133,5.40378579954796,5.3617929187074,6.51618380887663,5.31880850322584,5.63922347926423,5.98821658693703,4.62648002221225,5.56876482235108,5.56553015721379,5.86128793852302,6.70213111852307,6.85587760511417,5.86102237109643,6.19814247350704,6.01360964836532,5.33295134551904,5.38615220443717,5.52696708551267,5.62679538581611
"AFFX-BioB-3_at",8.05508717032704,7.50048340147312,7.36567504224472,7.33511340212941,7.88859714580017,7.29280935154748,7.72285533565699,7.8826063702081,7.45647762935182,7.84342489238749,7.79627976754158,7.50400059952446,7.47556321533068,6.72489579273438,7.80535050278489,7.52030437646944,7.58662214784715,8.25534493633215,8.23212828104639,7.19062473623704,7.15899334611388,7.54791247360097,7.41433006715921,7.05830567100759,7.55003103112123,7.17775836957113
"AFFX-BioC-5_at",6.78314230747134,5.84018373184092,6.07463387571746,6.27091572715148,5.36977355586383,5.24709202707157,6.78856826502851,5.57800277052129,4.63154086734149,6.06026792270916,5.97699593652715,5.53224525922365,5.95040309012734,5.7736298044881,5.95578705147477,5.34591082217834,5.73528116644083,6.74465895477421,6.90286949578123,4.58888849796245,6.62705959576035,6.524887998638,5.73840576677175,5.70089465022616,6.04254366039472,6.2289014026405
"AFFX-BioC-3_at",5.42892625138386,4.07044085179422,5.23266843067966,5.54000246342113,4.47557132129255,5.94579729725575,5.07306184806242,4.97463484929139,4.52987090912817,5.31258894218688,5.1343236336455,4.81425303562629,4.37091752228538,4.78760485042373,5.3450201809464,5.15109977377756,5.84568574239028,5.36224894381215,6.32161968585998,4.55430028381171,5.68820554117429,5.5887056421306,4.99257811296591,4.90334683498221,5.24264442197471,5.91831944146312
"AFFX-BioDn-3_at",9.55310510588954,9.00843982742544,9.28285907829134,9.38771364145198,8.69406183010296,9.35331887978433,9.46103122133263,8.88290894534158,8.83445840857032,9.23202512112913,9.3973195301291,9.07749670890361,8.50871782812343,9.27613371295415,9.15262202335891,9.02374049449086,8.6490046271876,9.56509255558934,9.21894580538008,8.57451784298963,8.97080764930083,9.36547602222311,9.2049525521778,8.84934254370896,8.52133739379163,9.6274299191373
"AFFX-CreX-5_at",6.26573130122199,5.35427583294873,5.95492678065895,5.76611276937513,4.86147901754989,4.28740580313533,5.81548320819236,5.1780931367381,5.10483145290689,5.75692987379949,5.60205298686309,5.42314449056693,5.11865042862064,4.81550370218408,5.6012716075573,5.18300606545354,5.85406299132744,6.37836249081825,6.05914541737555,4.63721607675255,5.95314415558951,5.85878917542284,4.84652841760666,5.60094169685403,4.9611093113448,6.17904719543361
"AFFX-CreX-3_at",6.71942989352585,6.60722969150963,6.21003617467373,5.76891739817924,5.78096357377722,5.8601608019315,6.59442911620943,5.72057945138817,5.14807180813065,5.91322931723926,6.49548091673499,6.17908104396381,5.5536246864997,5.63413436733551,6.02833266166067,6.33750059455845,5.74102736935017,6.76214946117834,7.08792952004019,5.45489640259443,5.63891082098464,6.46562680492156,6.51654943793694,5.33019266059822,5.17851945387782,6.20027873815124
